Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,^NSEI,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,^NSEI,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,^NSEI,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,^NSEI,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,^NSEI,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,^NSEI
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,663.90576171875,505.9262390136719,1086.09716796875,897.047119140625,2521.07421875,14018.5,712.5250244140625,527.5,1260.449951171875,917.23095703125,2928.25,14018.5,721.5,537.0,1265.5,921.6151733398438,2940.0,14049.849609375,710.2999877929688,526.0999755859375,1255.800048828125,914.6926879882812,2879.0,13991.349609375,720.0,535.5499877929688,1257.9000244140625,917.461669921875,2880.0,13996.099609375,8810938,13592625,4253550,10015175,2681440,358100
2021-01-04,659.6895141601562,509.9544372558594,1110.0517578125,898.5591430664062,2616.8115234375,14132.900390625,708.0,531.7000122070312,1288.25,918.7769775390625,3039.449951171875,14132.900390625,719.0,535.0,1290.0,922.4920043945312,3050.75,14147.9501953125,699.5,524.2999877929688,1261.1500244140625,908.231689453125,2940.949951171875,13953.75,719.0,532.2999877929688,1269.0,920.7383422851562,2950.0,14104.349609375,15740192,16549750,7208454,24513534,5113293,495000
2021-01-05,664.6743774414062,515.2775268554688,1114.8341064453125,887.3882446289062,2662.915283203125,14199.5,713.3499755859375,537.25,1293.800048828125,907.3548583984375,3093.0,14199.5,715.375,539.9500122070312,1299.0,915.4310913085938,3114.25,14215.599609375,704.5,523.0,1275.050048828125,902.6936645507812,3039.60009765625,14048.150390625,709.5999755859375,526.6500244140625,1282.0,908.6931762695312,3039.60009765625,14075.150390625,14386824,23311516,8145280,24123091,5801309,492500
2021-01-06,661.8091430664062,524.3409423828125,1104.75244140625,863.9860229492188,2627.186279296875,14146.25,710.2750244140625,546.7000122070312,1282.0999755859375,883.4260864257812,3051.5,14146.25,720.0,550.5999755859375,1302.0,907.3086547851562,3113.5,14244.150390625,706.5499877929688,535.8499755859375,1268.050048828125,879.2264404296875,3037.199951171875,14039.900390625,717.5,538.75,1300.0,907.2625122070312,3100.0,14240.9501953125,22134050,28178838,7161715,46401468,3726716,632300
2021-01-07,659.8060302734375,518.969970703125,1087.5621337890625,862.5868530273438,2611.0859375,14137.349609375,708.125,541.0999755859375,1262.1500244140625,881.9954223632812,3032.800048828125,14137.349609375,716.2999877929688,554.4000244140625,1297.6500244140625,897.6171875,3080.85009765625,14256.25,706.2750244140625,539.75,1255.5,879.2264404296875,3000.25,14123.099609375,716.25,552.1500244140625,1296.0,886.3104248046875,3075.0,14253.75,19894842,21138034,10954918,32325918,3717827,559200
2021-01-08,666.98046875,519.8811645507812,1130.602783203125,872.7647094726562,2686.935791015625,14347.25,715.8250122070312,542.0499877929688,1312.0999755859375,892.4022216796875,3120.89990234375,14347.25,721.0,547.0999755859375,1316.800048828125,894.5712890625,3128.0,14367.2998046875,711.5499877929688,536.3499755859375,1278.25,882.433837890625,3060.0,14221.650390625,716.0,547.0,1278.25,885.1566772460938,3090.0,14258.400390625,13768764,21937965,13186251,27540187,5879039,613500
2021-01-11,676.2048950195312,522.4227294921875,1185.8360595703125,856.313232421875,2734.760986328125,14484.75,725.7249755859375,544.7000122070312,1376.199951171875,875.58056640625,3176.449951171875,14484.75,732.4500122070312,546.0,1383.3499755859375,894.755859375,3230.0,14498.2001953125,718.1500244140625,535.0,1340.0,873.388427734375,3146.550048828125,14383.099609375,725.0,545.1500244140625,1342.0999755859375,894.755859375,3230.0,14474.0498046875,17331392,19394393,20528626,33307825,9508039,672900
2021-01-12,689.9718017578125,525.5877075195312,1182.001708984375,883.3036499023438,2733.384521484375,14563.4501953125,740.5,548.0,1371.75,903.1782836914062,3174.85009765625,14563.4501953125,743.8499755859375,550.6500244140625,1378.0,904.5396728515625,3210.0,14590.650390625,724.5499877929688,537.0999755859375,1360.0,876.8035278320312,3150.0,14432.849609375,726.2249755859375,541.0,1378.0,878.2341918945312,3176.449951171875,14473.7998046875,20388156,16388310,8309868,41161546,3611458,929600
2021-01-13,685.1499633789062,533.7401733398438,1195.2713623046875,875.0665893554688,2719.695068359375,14564.849609375,735.3250122070312,556.5,1387.1500244140625,894.755859375,3158.949951171875,14564.849609375,748.4500122070312,561.0,1392.800048828125,911.4390869140625,3177.0,14653.349609375,731.0499877929688,548.25,1360.0,885.3643798828125,3126.25,14435.7001953125,746.4500122070312,551.5,1373.8499755859375,906.177978515625,3175.0,14639.7998046875,16934650,21920297,14442997,26619458,3572801,874000
2021-01-14,684.2647094726562,530.6709594726562,1180.924560546875,884.9058837890625,2804.01318359375,14595.599609375,734.375,553.2999877929688,1370.5,904.8165893554688,3250.699951171875,14595.599609375,744.0,558.4500122070312,1384.0,907.7240600585938,3266.5,14617.7998046875,728.0,550.5999755859375,1318.449951171875,894.8712768554688,3120.39990234375,14471.5,735.5750122070312,554.0499877929688,1360.0,897.6171875,3155.0,14550.0498046875,12297166,13330898,27521697,21553242,6931542,620200
2021-01-15,683.286376953125,520.792236328125,1158.90869140625,874.457275390625,2789.04736328125,14433.7001953125,733.3250122070312,543.0,1344.949951171875,894.1328735351562,3233.35009765625,14433.7001953125,735.8250122070312,551.0,1364.449951171875,910.9083862304688,3274.0,14617.4501953125,722.5,541.5,1340.0,886.102783203125,3210.0,14357.849609375,734.5499877929688,550.0,1360.0,904.8165893554688,3235.0,14594.349609375,14165236,15708956,15018441,20593268,4131692,789600
2021-01-18,690.9501342773438,511.34515380859375,1130.5596923828125,895.4447631835938,2779.041259765625,14281.2998046875,741.5499877929688,533.1500244140625,1312.050048828125,915.5925903320312,3221.75,14281.2998046875,751.4249877929688,548.4000244140625,1340.0,921.6151733398438,3256.75,14459.150390625,733.5,528.9000244140625,1306.0,887.625732421875,3187.39990234375,14222.7998046875,734.9500122070312,544.5,1338.0,899.5093383789062,3250.0,14453.2998046875,42825632,21580313,8861765,35100458,4160906,762000
2021-01-19,700.6171875,524.1012573242188,1134.5230712890625,910.0910034179688,2812.638671875,14521.150390625,751.9249877929688,546.4500122070312,1316.6500244140625,930.5682983398438,3260.699951171875,14521.150390625,755.8250122070312,547.75,1331.0,937.30615234375,3279.0,14546.0498046875,733.5,533.9000244140625,1312.0,920.5306396484375,3232.0,14350.849609375,745.9000244140625,539.0,1320.0,920.5306396484375,3233.0,14371.650390625,17360254,20575358,5585744,32006615,2975735,546100
2021-01-20,695.0964965820312,528.4651489257812,1154.1695556640625,927.3773803710938,2854.12939453125,14644.7001953125,746.0,551.0,1339.449951171875,948.2437133789062,3308.800048828125,14644.7001953125,750.5,554.5999755859375,1348.4000244140625,949.7666625976562,3327.949951171875,14666.4501953125,743.0,546.0,1320.550048828125,923.645751953125,3267.10009765625,14517.5498046875,750.5,546.4500122070312,1320.550048828125,932.8757934570312,3270.0,14538.2998046875,13346052,16097138,8225838,30924537,3453446,623100
2021-01-21,687.0833129882812,530.0956420898438,1154.385009765625,947.5524291992188,2823.981689453125,14590.349609375,737.4000244140625,552.7000122070312,1339.699951171875,968.8727416992188,3273.85009765625,14590.349609375,747.1749877929688,561.0,1361.050048828125,978.379638671875,3309.14990234375,14753.5498046875,734.0750122070312,549.7000122070312,1335.0,957.6121826171875,3262.10009765625,14517.25,746.0,555.0,1350.0,960.8426513671875,3305.0,14730.9501953125,26333054,18189277,6142421,39087742,2778546,704600
2021-01-22,672.5245971679688,511.968505859375,1155.3758544921875,925.0755615234375,2849.212890625,14371.900390625,721.7750244140625,533.7999877929688,1340.8499755859375,945.8900756835938,3303.10009765625,14371.900390625,733.9500122070312,553.5,1356.0,976.2337036132812,3325.0,14619.900390625,720.0750122070312,530.5999755859375,1326.550048828125,939.2213745117188,3241.89990234375,14357.75,733.9500122070312,553.0999755859375,1327.0,974.2261352539062,3241.89990234375,14583.400390625,15392364,24515997,9646591,30532660,3052459,776800
2021-01-25,681.5159912109375,516.044677734375,1141.804443359375,876.0595092773438,2839.033935546875,14238.900390625,731.4249877929688,538.0499877929688,1325.0999755859375,895.7711791992188,3291.300048828125,14238.900390625,740.5,542.2999877929688,1347.9000244140625,939.1290893554688,3339.800048828125,14491.099609375,727.5750122070312,531.2000122070312,1313.0,891.61767578125,3278.64990234375,14218.599609375,732.5499877929688,536.5499877929688,1345.0,939.1290893554688,3308.949951171875,14477.7998046875,20344718,23415249,6542611,54207104,2272887,618600
2021-01-27,656.7078247070312,500.9868469238281,1121.0380859375,855.2976684570312,2812.941162109375,13967.5,704.7999877929688,522.3499755859375,1301.0,874.5421752929688,3261.050048828125,13967.5,735.9500122070312,539.2000122070312,1327.550048828125,888.38720703125,3306.449951171875,14237.9501953125,703.0750122070312,519.0999755859375,1285.0999755859375,871.3117065429688,3227.0,13929.2998046875,734.0,537.7999877929688,1319.5999755859375,888.38720703125,3300.0,14237.9501953125,23556276,28049286,8133665,42370131,2786662,660700
2021-01-28,638.934326171875,506.6455993652344,1099.6685791015625,846.9703369140625,2757.304443359375,13817.5498046875,685.7249755859375,528.25,1276.199951171875,866.0275268554688,3196.550048828125,13817.5498046875,700.6500244140625,529.8499755859375,1296.449951171875,887.6026611328125,3275.0,13898.25,671.0,512.0,1272.550048828125,863.0046997070312,3183.800048828125,13713.25,694.9500122070312,514.5999755859375,1291.800048828125,867.6889038085938,3230.0,13810.400390625,42704446,29836591,4660690,34067814,3083938,637900
2021-01-29,647.8094482421875,515.0376586914062,1067.657470703125,831.3538208007812,2683.811767578125,13634.599609375,695.25,537.0,1239.050048828125,850.0596313476562,3111.35009765625,13634.599609375,704.375,544.9500122070312,1291.1500244140625,882.8953247070312,3216.85009765625,13966.849609375,682.25,529.4500122070312,1231.0,844.544677734375,3100.0,13596.75,695.6749877929688,533.3499755859375,1286.25,874.2191162109375,3210.050048828125,13946.599609375,28704502,33172808,12183519,43712383,5445659,753200
2021-02-01,687.9918212890625,579.1056518554688,1086.4849853515625,855.43310546875,2707.963623046875,14281.2001953125,738.375,603.7999877929688,1260.9000244140625,874.6806640625,3139.35009765625,14281.2001953125,741.25,609.4500122070312,1277.949951171875,879.1571655273438,3165.0,14336.349609375,700.5,551.0,1241.0,852.8516845703125,3044.10009765625,13661.75,705.125,552.0,1250.550048828125,858.11279296875,3100.0,13758.599609375,26370544,69354326,8880279,34180952,3985846,870500
2021-02-02,727.03271484375,592.1015014648438,1095.4034423828125,869.1990356445312,2763.25537109375,14647.849609375,780.2750244140625,617.3499755859375,1271.25,888.7564086914062,3203.449951171875,14647.849609375,789.25,624.0,1294.4000244140625,895.3096923828125,3224.0,14731.7001953125,748.7000122070312,598.7000122070312,1263.5999755859375,856.0591430664062,3150.0,14469.150390625,750.5,613.0,1280.0,883.4260864257812,3174.0,14481.099609375,42420206,42362384,6892490,41470034,2881837,915000
2021-02-03,733.671630859375,596.89697265625,1106.949951171875,871.38818359375,2760.32275390625,14789.9501953125,787.4000244140625,622.3499755859375,1284.6500244140625,890.9946899414062,3200.050048828125,14789.9501953125,790.8499755859375,627.5,1304.0,900.84765625,3236.0,14868.849609375,771.0,614.0,1273.0,876.8496704101562,3162.64990234375,14574.150390625,789.5,623.4000244140625,1277.6500244140625,889.91015625,3213.0,14754.900390625,20237254,27155908,8182968,30301696,2505866,869500
2021-02-04,735.6748046875,602.6036987304688,1102.3828125,868.5220336914062,2750.317138671875,14895.650390625,789.5499877929688,628.2999877929688,1279.3499755859375,888.0641479492188,3188.449951171875,14895.650390625,794.0,631.6500244140625,1293.4000244140625,895.3096923828125,3237.85009765625,14913.7001953125,771.7249755859375,609.0,1272.050048828125,879.1571655273438,3176.0,14714.75,783.0,618.7999877929688,1285.0,887.9256591796875,3216.050048828125,14789.0498046875,24484684,29982222,5032240,25626981,2057261,884700
2021-02-05,744.2935791015625,589.032470703125,1096.1357421875,868.2738037109375,2724.008056640625,14924.25,798.7999877929688,614.1500244140625,1272.0999755859375,887.810302734375,3157.949951171875,14924.25,809.125,635.2999877929688,1288.75,897.4556884765625,3205.85009765625,15014.650390625,774.0,611.0,1262.0,886.0797119140625,3129.0,14864.75,774.0,628.2999877929688,1286.4000244140625,890.7177734375,3198.949951171875,14952.599609375,27054716,32015570,5477481,20248046,2366135,935600
2021-02-08,747.8577270507812,603.8504638671875,1123.2353515625,880.776123046875,2772.4423828125,15115.7998046875,802.625,629.5999755859375,1303.550048828125,900.5938720703125,3214.10009765625,15115.7998046875,815.8250122070312,633.9500122070312,1310.0,908.6931762695312,3226.0,15159.900390625,797.8499755859375,622.3499755859375,1275.5,890.2562866210938,3155.14990234375,15041.0498046875,810.0,622.3499755859375,1285.5,892.1022338867188,3189.5,15064.2998046875,17447580,18230551,6921922,21183400,2526592,671200
2021-02-09,750.9325561523438,607.4471435546875,1124.958740234375,882.8973999023438,2740.35400390625,15109.2998046875,805.9249877929688,633.3499755859375,1305.550048828125,902.7628784179688,3176.89990234375,15109.2998046875,814.0,643.2000122070312,1332.0,918.2000732421875,3245.800048828125,15257.099609375,793.3499755859375,628.5999755859375,1297.8499755859375,900.9861450195312,3164.0,15064.2998046875,805.0,631.3499755859375,1306.9000244140625,905.4396362304688,3195.0,15164.150390625,18421366,27155615,7965949,19604141,2658751,713300
2021-02-10,736.9094848632812,606.2962646484375,1117.1605224609375,891.0892944335938,2771.75244140625,15106.5,790.875,632.1500244140625,1296.5,911.1390991210938,3213.300048828125,15106.5,807.4249877929688,638.2000122070312,1304.3499755859375,915.9617919921875,3219.39990234375,15168.25,783.5,626.4000244140625,1283.5999755859375,889.4486083984375,3157.300048828125,14977.2001953125,804.1749877929688,633.3499755859375,1295.800048828125,901.6553344726562,3185.0,15119.0498046875,19788006,23967387,5951207,21234156,2127983,624800
2021-02-11,732.5302124023438,604.8576049804688,1113.8431396484375,927.8286743164062,2765.455322265625,15173.2998046875,786.1749877929688,630.6500244140625,1292.6500244140625,948.7052001953125,3206.0,15173.2998046875,798.9000244140625,633.5999755859375,1296.0,952.6279907226562,3219.300048828125,15188.5,782.0999755859375,624.0999755859375,1283.050048828125,910.1930541992188,3185.050048828125,15065.400390625,791.0,626.75,1289.0,913.7696533203125,3215.0,15073.25,13648618,16072702,4673317,42539278,1165882,500100
2021-02-12,737.0026245117188,621.1142578125,1128.6209716796875,921.4647827148438,2752.344482421875,15163.2998046875,790.9749755859375,647.5999755859375,1309.800048828125,942.1980590820312,3190.800048828125,15163.2998046875,796.25,649.9000244140625,1323.75,958.9966430664062,3245.5,15243.5,786.5,629.4000244140625,1301.550048828125,930.1067504882812,3182.0,15081.0,786.9500122070312,629.9000244140625,1305.0,948.6129150390625,3184.199951171875,15186.2001953125,9910106,19049709,5797875,30497029,2777404,571800
2021-02-15,753.1455078125,646.3867797851562,1128.4918212890625,917.4027099609375,2708.395263671875,15314.7001953125,808.2999877929688,673.9500122070312,1309.6500244140625,938.0445556640625,3139.85009765625,15314.7001953125,812.5,676.7999877929688,1328.4000244140625,951.2896118164062,3209.0,15340.150390625,798.3499755859375,652.0,1307.0999755859375,934.5371704101562,3131.550048828125,15243.400390625,800.0499877929688,655.0,1320.0,945.1747436523438,3209.0,15270.2998046875,10355244,27155194,4363513,15791099,2630853,456000
2021-02-16,757.8275756835938,631.4247436523438,1111.9044189453125,929.5439453125,2681.612060546875,15313.4501953125,813.3250122070312,658.3499755859375,1290.4000244140625,950.4589233398438,3108.800048828125,15313.4501953125,820.5,679.4000244140625,1319.75,959.6427612304688,3167.64990234375,15431.75,804.2249755859375,649.5499877929688,1286.0,939.1521606445312,3100.0,15242.2001953125,810.5999755859375,673.4000244140625,1314.0,941.3442993164062,3150.0,15371.4501953125,13897358,24966739,6896421,21421660,3435770,648500
2021-02-17,739.1223754882812,630.465576171875,1104.0631103515625,940.26318359375,2650.81787109375,15208.900390625,793.25,657.3499755859375,1281.300048828125,961.4195556640625,3073.10009765625,15208.900390625,810.9000244140625,664.9500122070312,1294.5,967.2805786132812,3132.85009765625,15314.2998046875,791.5,649.3499755859375,1275.0,946.3515625,3045.550048828125,15170.75,810.0,654.7999877929688,1290.4000244140625,950.6896362304688,3105.10009765625,15279.900390625,12794426,21684753,4575741,23742994,3678426,504800
2021-02-18,724.1210327148438,618.2850341796875,1113.6708984375,933.2449340820312,2637.231689453125,15118.9501953125,777.1500244140625,644.6500244140625,1292.449951171875,954.2432250976562,3057.35009765625,15118.9501953125,802.9749755859375,652.4000244140625,1306.0,973.0262451171875,3097.89990234375,15250.75,774.0,637.5999755859375,1275.0,950.2742919921875,3031.0,15078.0498046875,802.9749755859375,650.0,1276.0,962.2271728515625,3065.0,15238.7001953125,14720560,27845347,6437551,18646877,4189909,770600
2021-02-19,717.0396118164062,598.5275268554688,1112.6798095703125,938.9318237304688,2649.7392578125,14981.75,769.5499877929688,624.0499877929688,1291.300048828125,960.05810546875,3071.85009765625,14981.75,782.0999755859375,635.5,1299.5,971.43408203125,3087.14990234375,15144.0498046875,766.5,619.0,1276.800048828125,947.5975952148438,3016.14990234375,14898.2001953125,772.5,635.5,1296.0999755859375,949.30517578125,3058.0,15074.7998046875,17139508,24055811,5389696,23403483,3725028,712200
2021-02-22,721.1858520507812,584.908203125,1090.1900634765625,906.3446655273438,2551.921630859375,14675.7001953125,774.0,609.8499755859375,1265.199951171875,926.73779296875,2958.449951171875,14675.7001953125,786.9500122070312,629.2999877929688,1308.550048828125,964.488525390625,3096.0,15010.099609375,769.7249755859375,607.2999877929688,1260.0,920.6691284179688,2943.14990234375,14635.0498046875,772.5250244140625,622.0,1295.0,959.919677734375,3096.0,14999.0498046875,29451838,27092321,7371303,23804335,5366696,609900
